일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm)
1998-07-02 15:00,26.3,33.7,1.1,0
1998-07-02 16:00,27.5,276.4,1.7,0
1998-07-02 17:00,26.4,42.8,1.6,0
1998-07-02 18:00,25.9,25.8,2,0
1998-07-02 19:00,25.3,0.6,1.3,0
1998-07-02 20:00,24.8,11,1.6,0
1998-07-02 21:00,24.7,192.9,1.3,0
1998-07-02 22:00,24.3,23.3,2,0
1998-07-02 23:00,24,27.1,2.1,0
1998-07-03 0:00,24,43.3,2.2,0
1998-07-03 1:00,23.8,22.9,2.2,0
1998-07-03 2:00,23.9,6.6,2.8,0
1998-07-03 3:00,24,35.5,3.1,0
1998-07-03 4:00,24.2,20.4,2.9,0
1998-07-03 5:00,23.7,50.5,1.9,0
1998-07-03 6:00,24.2,50.1,2,0
1998-07-03 7:00,24.2,44.9,2,0
1998-07-03 8:00,24.1,28.2,1.7,0
1998-07-03 9:00,24.5,322.1,1.8,0
1998-07-03 10:00,26,175.7,1.5,0
1998-07-03 11:00,26.3,89.6,1.5,0
1998-07-03 12:00,27.7,302.1,1.6,0
1998-07-03 13:00,29.4,77,2.2,0
1998-07-03 14:00,29.8,271.5,2.2,0
1998-07-03 15:00,29.6,275.9,1.8,0
1998-07-03 16:00,29.3,40.4,1.1,0
1998-07-03 17:00,29.1,30.5,1.6,0
1998-07-03 18:00,26,,,0
1998-07-03 19:00,25.1,148.7,3.6,0
1998-07-03 20:00,25.2,260.1,0.9,0
1998-07-03 21:00,25.4,46.8,1.3,0
1998-07-03 22:00,24.9,58,1.4,0
1998-07-03 23:00,24.6,337.8,1.2,0
1998-09-29 0:00,21.5,2.7,5.5,38
1998-09-29 1:00,21.6,10.7,5.7,38
1998-09-29 2:00,21.3,15.8,3.5,38
1998-09-29 3:00,20.9,17.9,3.5,38
1998-09-29 4:00,21.1,53.4,3.2,38
1998-09-29 5:00,20.1,31.6,3.3,38
1998-09-29 6:00,19.7,12.4,4.5,38
1998-09-29 7:00,20.3,29.9,2.9,38
1998-09-29 8:00,20.8,22.1,5.4,38
1998-09-29 9:00,19.6,15.2,4.7,38
1998-09-29 10:00,20.3,4.9,3.5,38
1998-09-29 11:00,19.7,37.6,4.4,38
1998-09-29 12:00,18.6,15.9,4,38
1998-09-29 13:00,18.4,357.2,2.5,38
1998-09-29 14:00,19.1,12.8,4.5,38
1998-09-29 15:00,19.8,75.6,4.7,38
1998-09-29 16:00,18.7,44.9,3.4,38
1998-09-29 17:00,19.7,75.9,7.4,38
1998-09-29 18:00,18.5,359.3,3.9,38
1998-09-29 19:00,19.5,26.7,4.2,38
1998-09-29 20:00,20.5,79.5,5.9,38
1998-09-29 21:00,20.7,44.3,5.5,38
1998-09-29 22:00,19.9,355.8,3.3,38
1998-09-29 23:00,20.9,352.7,3.3,38
1998-09-30 0:00,21.1,357.3,3.8,171
1998-09-30 1:00,20.9,26.1,5.1,171
1998-09-30 2:00,21.5,359.2,4.7,171
1998-09-30 3:00,21.8,7.2,5.1,171
1998-09-30 4:00,22.8,349.7,4,171
1998-09-30 5:00,22.6,325.8,3,171
1998-09-30 6:00,22.9,336.2,3.1,171
1998-09-30 7:00,22.9,336,3.6,171
1998-09-30 8:00,23,355.8,4.1,171
1998-09-30 9:00,23,346.9,4.6,171
1998-09-30 10:00,22.7,5.5,5.3,171
1998-09-30 11:00,21.5,16,6.9,171
1998-09-30 12:00,21.2,335.1,5.8,171
1998-09-30 13:00,21.2,69.8,7.5,171
1998-09-30 14:00,23.3,316.7,4.8,171
1998-09-30 15:00,23.3,172.2,5.9,171
1998-09-30 16:00,24,156.6,4.9,171
1998-09-30 17:00,23.9,146,5.4,171
1998-09-30 18:00,24.4,119,4,171
1998-09-30 19:00,24.3,138.9,3,171
1998-09-30 20:00,23.9,271.5,2.4,171
1998-09-30 21:00,23.1,50.1,1.3,171
1998-09-30 22:00,22.5,138.1,0.8,171
1998-09-30 23:00,22.5,228.8,0.7,171
1998-10-01 0:00,21.2,356.8,1.7,1
1998-10-01 1:00,20.4,348.7,1.9,1
1998-10-01 2:00,20,354.5,2,1
1998-10-01 3:00,21.1,82.3,5.9,1
1998-10-01 4:00,21.2,67.1,6,1
1998-10-01 5:00,21.5,344,1.5,1
1998-10-01 6:00,21.6,72.5,3.4,1
1998-10-01 7:00,22.2,86.5,2.8,1
1998-10-01 8:00,23,106.7,3.4,1
1998-10-01 9:00,22.9,352.3,1.6,1
1998-10-01 10:00,23.2,36.7,1.3,1
1998-10-01 11:00,24.6,12.6,0.7,1
1998-10-01 12:00,26.8,280.8,1.4,1
1998-10-01 13:00,27,314.6,1.3,1
1998-10-01 14:00,26.7,322,0.7,1
1998-10-01 15:00,25.4,43.4,1.1,1
1998-10-01 16:00,24.8,4,1.8,1
1998-10-01 17:00,25.3,357.2,1.8,1
1998-10-01 18:00,24,0,0.1,1
1998-10-01 19:00,23,212.4,0.4,1
1998-10-01 20:00,23,0,0.2,1
1998-10-01 21:00,21.7,0,0.1,1
1998-10-01 22:00,21.1,0,0,1
1998-10-01 23:00,20.8,252,0.4,1
1999-07-23 0:00,23.4,7.5,2,1
1999-07-23 1:00,23.4,175.3,1.6,1
1999-07-23 2:00,23.4,,,1
1999-07-23 3:00,23.6,,,1
1999-07-23 4:00,23.7,143.8,1.6,1
1999-07-23 5:00,23.8,139.5,1.6,1
1999-07-23 6:00,24.3,135.1,0.9,1
1999-07-23 7:00,24.7,44.9,0.9,1
1999-07-23 8:00,25.1,28.4,1.1,1
1999-07-23 9:00,25.7,52.2,1.3,1
1999-07-23 10:00,25.5,289.8,1.4,1
1999-07-23 11:00,26.4,350.1,1.6,1
1999-07-23 12:00,26.7,283.6,1.6,1
1999-07-23 13:00,27.6,103.3,1.8,1
